objectid,filename,title,format,creator,date,location,latitude,longitude
omac_1,omac_1.jpg,La Libelula Colombiana,image/jpeg,Feliza Burstein,1981,Bogotá - Centro Cultural de Bogotá - Museo de Arte Miguel Urrutia - Exposición Permanente de la Colección de Arte,4.5962588,-74.07311593
omac_2,omac_2.jpg,De La Serie Parejas,image/jpeg,MariPaz Jaramillo,1985,Cali - Museo La Tertulia,3.45028021,-76.54530724
omac_3,omac_3.jpg,Cabeza Negra,image/jpeg,Hena Rodriguez,1945,Bogotá - Museo Nacional de Colombia,4.61560505,-74.06860033
omac_4,omac_4.jpg,La Salida De Laureano,image/jpeg,Debora Arango,1953,Medellín - Museo de Arte Moderno de Medellín,4.59669376,-74.07256346
omac_5,omac_5.jpg,Vitrina,image/jpeg,Maria Teresa Hincapie,1989,Medellín - Museo de Arte Moderno de Medellín,6.22378007,-75.57384146
omac_6,omac_6.jpg,La Ceiba Dorada,image/jpeg,Lucy Tejada,1958,Pererira - Museo Lucy Tejada,4.81261356,-75.69245038
omac_7,omac_7.jpg,Fragmentos,image/jpeg,Doris Salcedo,2018,Bogotá - Museo Nacional de Colombia,4.61560505,-74.06860033
